index_date,fuel_sector_credit_operations_(r$_million)_forecast
2021-10-01,24079.331294428783
2021-11-01,24781.790327937368
2021-12-01,23100.08155475739
2022-01-01,23411.545737575063
2022-02-01,22096.862268231715
2022-03-01,19355.794697799844
2022-04-01,18840.65419308113
2022-05-01,17865.907101451532
2022-06-01,10297.146952304905
2022-07-01,9707.596012672391
2022-08-01,9286.843152067453
2022-09-01,6499.891145834817
